z,XCH4,XCO,XCO2,XH2,XH2O,XO2,Tboth,Tgas,Tsolid
0.07167165,0.4993908,0,0.5006092,0,0,0,886.3796,889.0909,880.6762
0.07237235,0.4993908,0,0.5006092,0,0,0,886.2968,889.0811,880.2283
0.07307305,0.4993908,0,0.5006092,0,0,0,885.9671,888.7492,880.1548
0.07377375,0.4993908,0,0.5006092,0,0,0,885.3952,887.9635,879.9438
0.07447445,0.4993908,0,0.5006092,0,0,0,884.8768,887.197,879.5922
0.07517515,0.4993908,0,0.5006092,0,0,0,884.4096,886.9251,879.171
0.07587585,0.4993908,0,0.5006092,0,0,0,884.0161,886.7261,878.6205
0.07657655,0.4993908,0,0.5006092,0,0,0,883.7051,887.2098,878.0093
0.07727725,0.4993908,0,0.5006092,0,0,0,883.3237,887.464,877.5162
0.07797795,0.4993908,0,0.5006092,0,0,0,883.0415,887.6812,877.105
0.07867865,0.4993908,0,0.5006092,0,0,0,882.7456,887.6359,876.7423
0.07937935,0.4993908,0,0.5006092,0,0,0,882.5093,887.4767,876.3672
0.08008005,0.4993908,0,0.5006092,0,0,0,882.2342,887.0316,875.9603
0.08078075,0.4993908,0,0.5006092,0,0,0,882.0178,886.461,875.5533
0.08148146,0.4993908,0,0.5006092,0,0,0,881.9002,885.88,875.1819
0.08218216,0.4993908,0,0.5006092,0,0,0,881.9124,885.7828,875.4229
0.08288286,0.4993908,0,0.5006092,0,0,0,881.9363,885.3673,875.7302
0.08358356,0.4993908,0,0.5006092,0,0,0,881.9594,885.0261,876.0722
0.08428426,0.4993908,0,0.5006092,0,0,0,882.0115,885.0655,876.324
0.08498496,0.4993908,0,0.5006092,0,0,0,882.0089,884.8363,876.6271
0.08568566,0.4993908,0,0.5006092,0,0,0,881.9878,884.3878,877.0411
0.08638636,0.4993908,0,0.5006092,0,0,0,882.0847,883.9727,877.6125
0.08708706,0.4993908,0,0.5006092,0,0,0,882.1171,883.3671,878.4616
0.08778776,0.4993908,0,0.5006092,0,0,0,882.1798,883.3998,878.4944
0.08848846,0.4993908,0,0.5006092,0,0,0,882.1288,883.3797,878.2856
0.08918916,0.4993908,0,0.5006092,0,0,0,881.8471,883.0127,878.0818
0.08988986,0.4993908,0,0.5006092,0,0,0,881.5118,882.5407,877.8894
0.09059056,0.4993908,0,0.5006092,0,0,0,881.1788,882.0491,877.6937
0.09129126,0.4993908,0,0.5006092,0,0,0,880.8293,881.5278,877.4726
0.09199196,0.4993908,0,0.5006092,0,0,0,880.4936,881.0224,877.2065
0.09269267,0.4993908,0,0.5006092,0,0,0,880.1433,880.4976,876.9136
0.09339337,0.4993908,0,0.5006092,0,0,0,879.7726,879.9462,876.6869
0.09409407,0.4993908,0,0.5006092,0,0,0,879.3202,879.4467,875.5408
0.09479477,0.4993908,0,0.5006092,0,0,0,878.9921,879.3339,875.0622
0.09549547,0.4993908,0,0.5006092,0,0,0,878.7567,879.3408,874.5571
0.09619617,0.4993908,0,0.5006092,0,0,0,878.4699,879.3189,873.9553
0.09689687,0.4993908,0,0.5006092,0,0,0,878.071,879.226,873.0973
0.09759757,0.4993908,0,0.5006092,0,0,0,877.5912,879.3984,871.897
0.09829827,0.4993908,0,0.5006092,0,0,0,877.1333,879.8931,870.9305
0.09899897,0.4993908,0,0.5006092,0,0,0,876.4868,880.081,870.158
0.09969967,0.4993908,0,0.5006092,0,0,0,875.5936,879.7735,869.4381
0.1004004,0.4993908,0,0.5006092,0,0,0,874.6141,879.2084,868.6398
0.1011011,0.4993908,0,0.5006092,0,0,0,873.6221,878.4636,867.7683
0.1018018,0.4993908,0,0.5006092,0,0,0,872.7164,877.6549,866.8762
0.1025025,0.4993908,0,0.5006092,0,0,0,872.0144,876.9251,866.0539
0.1032032,0.4993908,0,0.5006092,0,0,0,871.4787,876.145,865.3726
0.1039039,0.4993908,0,0.5006092,0,0,0,871.036,875.2115,864.8363
0.1046046,0.4993908,0,0.5006092,0,0,0,870.7406,874.2566,864.4776
0.1053053,0.4993908,0,0.5006092,0,0,0,870.6168,873.3681,864.328
0.106006,0.4993908,0,0.5006092,0,0,0,870.6306,872.9347,864.0093
0.1067067,0.4993908,0,0.5006092,0,0,0,870.4666,873.0397,863.0456
0.1074074,0.4993908,0,0.5006092,0,0,0,870.1739,873.2168,861.9746
0.1081081,0.4993908,0,0.5006092,0,0,0,869.7762,873.0483,860.9979
0.1088088,0.4993908,0,0.5006092,0,0,0,869.3674,872.6875,859.9346
0.1095095,0.4993908,0,0.5006092,0,0,0,868.9283,872.1139,858.6522
0.1102102,0.4993908,0,0.5006092,0,0,0,868.677,872.3405,858.963
0.1109109,0.4993908,0,0.5006092,0,0,0,868.5888,873.0566,859.6705
0.1116116,0.4993908,0,0.5006092,0,0,0,868.5984,873.778,860.1752
0.1123123,0.4993908,0,0.5006092,0,0,0,868.434,874.1207,860.4582
0.113013,0.4993908,0,0.5006092,0,0,0,868.0658,873.9943,860.494
0.1137137,0.4993908,0,0.5006092,0,0,0,867.6274,873.588,860.3436
0.1144144,0.4993908,0,0.5006092,0,0,0,867.1845,872.954,860.0965
0.1151151,0.4993908,0,0.5006092,0,0,0,866.8183,872.1859,859.8526
0.1158158,0.4993908,0,0.5006092,0,0,0,866.5757,871.3766,859.6523
0.1165165,0.4993908,0,0.5006092,0,0,0,866.3032,870.2777,859.5861
0.1172172,0.4993908,0,0.5006092,0,0,0,866.213,869.2782,859.7592
0.1179179,0.4993908,0,0.5006092,0,0,0,866.2372,868.2809,860.398
0.1186186,0.4993908,0,0.5006092,0,0,0,866.2682,867.5765,861.1362
0.1193193,0.4993908,0,0.5006092,0,0,0,866.3192,867.8836,860.3705
0.12002,0.4993908,0,0.5006092,0,0,0,866.45,868.4277,859.617
0.1207207,0.4993908,0,0.5006092,0,0,0,866.4403,868.5621,859.2377
0.1214214,0.4993908,0,0.5006092,0,0,0,866.2948,868.2745,859.2246
0.1221221,0.4993908,0,0.5006092,0,0,0,865.9295,867.5548,859.3385
0.1228228,0.4993908,0,0.5006092,0,0,0,865.611,867.4416,858.8856
